name,averageofgoals,averageofpoints,AverageCreativity,AverageAssists,AverageThreat,AverageCS,AverageSel,AverageGC
Abdoulaye Doucouré,0.1875,2.96875,12.1875,0.0625,11.9125,0.25,71716.15625,0.15625
Adam Smith,0.0,1.90625,8.043750000000001,0.09375,9.23125,0.15625,18503.40625,0.125
Adam Wharton,0.0,2.7,20.009999999999998,0.1,14.02,0.4,976.2,0.1
Alejandro Garnacho,0.21875,3.59375,15.78125,0.1875,14.4625,0.21875,473101.625,0.125
Alex Iwobi,0.15151515151515152,2.757575757575758,17.96969696969697,0.06060606060606061,13.50909090909091,0.18181818181818182,58333.454545454544,0.06060606060606061
Alexander Isak,0.53125,4.125,8.103125,0.03125,21.36875,0.1875,1769703.125,0.03125
Alexis Mac Allister,0.125,2.875,18.225,0.15625,18.4625,0.15625,414036.15625,0.1875
Alfie Doughty,0.030303030303030304,2.727272727272727,28.654545454545456,0.2727272727272727,16.654545454545456,0.06060606060606061,485518.6666666667,0.09090909090909091
Alisson Ramses Becker,0.0,2.8125,0.325,0.0,15.7125,0.21875,1161821.0,0.03125
Alphonse Areola,0.0,3.212121212121212,0.0,0.0,25.563636363636363,0.12121212121212122,3442181.1818181816,0.030303030303030304
Amadou Onana,0.0625,1.8125,8.4,0.0,9.18125,0.125,18116.1875,0.15625
Amari'i Bell,0.0,1.0606060606060606,3.603030303030303,0.0,10.212121212121213,0.06060606060606061,415884.3939393939,0.0
Andreas Hoelgebaum Pereira,0.09090909090909091,3.5454545454545454,35.93939393939394,0.2727272727272727,14.715151515151517,0.36363636363636365,100267.81818181818,0.18181818181818182
Andros Townsend,0.04,2.32,11.716,0.16,8.736,0.12,9470.44,0.04
André Onana,0.0,3.5625,1.0375,0.0,28.89375,0.25,1666961.625,0.15625
Anel Ahmedhodžić,0.03125,0.8125,1.440625,0.0,13.8375,0.03125,22270.09375,0.28125
Anthony Elanga,0.15151515151515152,3.272727272727273,12.030303030303031,0.24242424242424243,15.351515151515152,0.06060606060606061,138567.12121212122,0.030303030303030304
Anthony Gordon,0.3125,4.9375,19.0125,0.40625,21.38125,0.34375,1323836.8125,0.25
Antoine Semenyo,0.21875,2.8125,10.321875,0.125,13.275,0.1875,285109.03125,0.15625
Antonee Robinson,0.0,2.878787878787879,15.251515151515152,0.18181818181818182,21.472727272727273,0.24242424242424243,184520.60606060605,0.12121212121212122
Ashley Young,0.0,1.65625,11.184375,0.03125,6.7875,0.1875,37355.625,0.15625
Auston Trusty,0.0,0.75,2.33125,0.0,12.7625,0.03125,183993.375,0.125
Axel Disasi,0.06451612903225806,2.225806451612903,3.2387096774193544,0.0,16.335483870967742,0.16129032258064516,461529.1935483871,0.1935483870967742
Bart Verbruggen,0.0,1.6875,0.0,0.0,13.38125,0.09375,42936.9375,0.0625
Ben Brereton,0.3333333333333333,3.25,5.766666666666667,0.08333333333333333,16.26666666666667,0.0,11212.5,0.25
Benjamin White,0.0625,4.40625,14.034375,0.15625,18.53125,0.4375,1221721.125,0.21875
Bernardo Veiga de Carvalho e Silva,0.1875,3.34375,24.634375,0.125,18.6375,0.1875,309220.75,0.21875
Bernd Leno,0.0,3.606060606060606,0.0030303030303030303,0.0,28.163636363636364,0.2727272727272727,1523398.1515151516,0.09090909090909091
Billy Gilmour,0.0,1.6875,13.240625,0.09375,7.84375,0.15625,34415.5,0.15625
Boubacar Kamara,0.0,1.2121212121212122,8.86969696969697,0.030303030303030304,7.763636363636364,0.21212121212121213,10915.848484848484,0.21212121212121213
Brennan Johnson,0.15625,3.4375,14.33125,0.28125,14.375,0.125,63658.875,0.09375
Bruno Borges Fernandes,0.25,4.34375,41.609375,0.21875,28.6625,0.21875,1431980.78125,0.25
Bruno Guimarães Rodriguez Moura,0.125,3.5625,23.7125,0.21875,22.55625,0.3125,241074.75,0.25
Bryan Mbeumo,0.24242424242424243,3.0303030303030303,14.163636363636362,0.12121212121212122,13.13939393939394,0.12121212121212122,1481155.1818181819,0.030303030303030304
Bukayo Saka,0.4375,6.03125,34.303125,0.3125,29.0125,0.375,6032586.34375,0.09375
Calvin Bassey,0.030303030303030304,1.7272727272727273,0.9939393939393939,0.0,12.006060606060606,0.15151515151515152,29978.363636363636,0.09090909090909091
Cameron Archer,0.125,2.21875,7.621875,0.09375,7.7625,0.0625,709689.46875,0.0625
Carlos Henrique Casimiro,0.03125,1.375,6.61875,0.0625,14.13125,0.125,265287.34375,0.15625
Carlton Morris,0.2727272727272727,3.909090909090909,8.42121212121212,0.18181818181818182,14.248484848484848,0.09090909090909091,522558.7878787879,0.06060606060606061
Charlie Taylor,0.030303030303030304,1.3333333333333333,6.642424242424242,0.030303030303030304,10.806060606060607,0.06060606060606061,395955.54545454547,0.21212121212121213
Chiedozie Ogbene,0.12121212121212122,2.272727272727273,11.036363636363635,0.06060606060606061,12.133333333333333,0.06060606060606061,19033.303030303032,0.030303030303030304
Chris Richards,0.03125,1.09375,1.6625,0.0,10.475,0.03125,69645.3125,0.0625
Christian Nørgaard,0.06060606060606061,1.9090909090909092,10.218181818181819,0.030303030303030304,13.678787878787878,0.12121212121212122,16914.303030303032,0.24242424242424243
Cole Palmer,0.6451612903225806,6.709677419354839,24.451612903225808,0.3225806451612903,34.406451612903226,0.16129032258064516,2018103.1290322582,0.22580645161290322
Conor Bradley,0.05555555555555555,2.7222222222222223,11.933333333333332,0.16666666666666666,12.733333333333334,0.16666666666666666,388413.5,0.1111111111111111
Conor Gallagher,0.0967741935483871,3.193548387096774,22.69677419354839,0.22580645161290322,18.87741935483871,0.1935483870967742,49924.645161290326,0.1935483870967742
Craig Dawson,0.03125,2.15625,3.39375,0.03125,19.10625,0.1875,56366.6875,0.21875
Cristian Romero,0.125,2.84375,4.396875,0.0,20.95625,0.1875,1087699.53125,0.1875
